,id,name,neighbourhood_cleansed,latitude,longitude,property_type,accommodates,beds,price,number_of_reviews,review_scores_rating,geometry,restaurant,nightclub,suppermarket,park,trainstation,busstop,bicycle_rental,city_center,Wijkcode,Wijk,culture_to,public_gre,Safety_ind
0,2763037,Beautiful Canal Apartment,Centrum-West,52.37514,4.88916,Private room in rental unit,3,2.0,159.0,344,4.79,POINT (121085.04982094589 487590.6714440745),54.81365222460319,358.34299761064705,132.09853481238562,747.6798938368007,842.8668217029906,272.4984953511369,99.7395965591554,311.01259818140727,AC,Grachtengordel-West,19.0,0.0,86.0
1,2977065,Beautiful & light Apt on canal,Centrum-West,52.37615,4.89001,Entire rental unit,2,1.0,800.0,64,4.95,POINT (121143.70196670727 487702.6497363887),83.61388733677377,372.3446226228792,220.21665259364772,765.5322881437933,759.0012385291872,204.39767751319656,119.33419649065335,365.6380584572192,AC,Grachtengordel-West,19.0,0.0,86.0
2,4035170,White Houseboat Prinsengracht,Centrum-West,52.3778,4.88626,Boat,4,2.0,240.0,78,4.92,POINT (120889.61875115852 487887.9923804087),23.53406169081628,681.2166542202677,142.4415054703615,486.1278778426061,982.7786920472544,443.7366215486858,411.0138775336167,662.1564937115224,AC,Grachtengordel-West,19.0,0.0,86.0
3,4721743,City Centre Room with Bathroom w.Tub. Roof Terrace,Centrum-West,52.37597,4.8843,Private room in rental unit,2,1.0,135.0,550,4.86,POINT (120754.74665254963 487685.3052757748),28.641760811089025,623.64059798185,218.83348331872608,408.1149443183775,1145.9063468085326,213.9552194859852,168.97113281457405,636.3676434223768,AC,Grachtengordel-West,19.0,0.0,86.0
4,5617321,Gold Alley Apartment,Centrum-West,52.37377,4.88827,Private room in rental unit,2,1.0,157.0,466,4.87,POINT (121023.39540246708 487438.65791910683),24.837785952770933,259.19412620830104,169.272452230869,765.4076420184329,900.9860586603646,269.2657901838063,193.536621333169,294.9448725622044,AC,Grachtengordel-West,19.0,0.0,86.0
5,8879722,Cosy studio on the Houseboat Canal view,Centrum-West,52.37786,4.8863,Private room in houseboat,4,2.0,170.0,73,4.88,POINT (120892.38855006255 487894.64934133226),25.14310498951773,681.9490380745151,141.60678566129053,488.8016373644358,979.2636011777782,450.919946231823,418.16982822964064,665.5463218738041,AC,Grachtengordel-West,19.0,0.0,86.0
6,10522903,"Canal LOFT, great LOCATION",Centrum-West,52.37412,4.88836,Entire loft,4,2.0,140.0,103,4.58,POINT (121029.7922400116 487477.557797764),37.57413564149872,284.43469161484,138.3223065823396,749.717137983429,907.7725821338151,274.65340678212624,167.29741517218122,299.2784468766312,AC,Grachtengordel-West,19.0,0.0,86.0
7,13781229,Penthouse Apartment on Canal,Centrum-West,52.37639,4.88674,Entire rental unit,2,1.0,280.0,14,5.0,POINT (120921.2192105194 487730.8855671831),111.74957189897388,555.5545231285882,141.89988095638054,544.0273393525108,975.0641096634118,313.3131430385937,308.6753833599167,526.5159416280336,AC,Grachtengordel-West,19.0,0.0,86.0
8,18164648,Amazing 85m2 canal apartment in heart of city!,Centrum-West,52.37692,4.88733,Entire rental unit,2,1.0,386.0,21,4.9,POINT (120961.80116789465 487789.57773285976),92.0142820443888,573.6035536418425,197.1934296183203,568.6952305069907,928.7972509838588,384.6039361490721,318.76811732190095,540.3735256506527,AC,Grachtengordel-West,19.0,0.0,86.0
9,19132615,Big appt with terrace in Herengracht Canal House,Centrum-West,52.37449,4.88778,Entire rental unit,4,3.0,377.0,27,4.52,POINT (120990.57965286696 487518.9971575487),71.55955138902928,341.2517010400398,82.6416210617527,694.8126785492062,955.179312686552,241.26747127302235,190.96976804805936,351.0023531001569,AC,Grachtengordel-West,19.0,0.0,86.0
10,19734830,Canal Boat City Center,Centrum-West,52.37427,4.88327,Houseboat,2,1.0,162.0,195,4.88,POINT (120683.29435786302 487496.6453192006),36.07985374393255,574.9188356604194,62.2251090374544,473.4984417755323,1243.3523369673792,40.7848966645672,34.38603870135061,639.8239555130881,AC,Grachtengordel-West,19.0,0.0,86.0
